"","Localidad","Sitio","Ampharetidae","Aphroditidae","Capitellidae","Ctenodrillidae","Chaetopteridae","Chrysopetalidae","Cirratulidae","Dorvilleidae","Diurodrilidae","Eunicidae","Flabelligeridae","Glyceridae","Goniadidae","Hesionidae","Lacydonidae","Lumbrineridae","Magelonidae","Maldanidae","Nephtyidae","Nereididae","Oenonidae","Onuphidae","Ophelidae","Orbiniidae","Oweniidae","Paralacydonidae","Paraonidae","Pectinariidae","Pholoidae","Phyllodocidae","Pilargidae","Poecilochaetidae","polygordiidae","Polynoidae","Sab_Frabricinae","Sabellidae","Scalibregmatidae","Serpulidae","Sigalionidae","Spionidae","Syllidae","Terebellidae","Trichobranchidae","No identificado"
"L1.S1",1,1,0,95.492742551566,254.647313470843,95.492742551566,0,0,95.492742551566,222.816399286987,95.492742551566,95.492742551566,0,127.323656735421,0,159.154570919277,0,0,31.8309141838552,0,0,31.8309141838552,0,95.492742551566,63.6618283677107,0,0,0,63.6618283677105,0,31.8309141838552,0,31.8309141838552,0,0,0,0,95.4927425515658,0,31.8309141838552,0,286.478227654698,954.927425515661,127.323656735421,0,0
"L1.S2",1,2,31.8309141838552,31.8309141838552,381.970970206264,0,0,0,190.985485103132,31.8309141838552,0,159.154570919276,0,31.8309141838552,0,127.323656735421,0,95.492742551566,190.985485103132,31.8309141838552,31.8309141838552,63.6618283677105,0,159.154570919277,0,31.8309141838552,31.8309141838552,0,127.323656735421,31.8309141838552,95.492742551566,31.8309141838552,0,0,0,0,0,763.941940412529,0,159.154570919277,0,636.618283677107,859.434682964093,95.492742551566,0,0
"L1.S3",1,3,95.492742551566,31.8309141838552,318.309141838554,0,0,0,254.647313470843,63.6618283677105,0,0,0,63.6618283677105,31.8309141838552,31.8309141838552,0,95.492742551566,63.6618283677105,63.6618283677107,31.8309141838552,0,0,0,0,0,254.647313470843,0,286.478227654698,0,63.6618283677105,31.8309141838552,31.8309141838552,0,0,0,0,350.140056022409,31.8309141838552,254.647313470842,0,190.985485103132,413.801884390119,0,0,0
"L2.S1",2,1,127.323656735421,0,159.154570919276,0,0,31.8309141838552,190.985485103132,190.985485103132,0,127.323656735421,0,63.6618283677105,0,0,0,95.492742551566,63.6618283677105,31.8309141838552,31.8309141838552,0,0,477.46371275783,0,0,31.8309141838552,0,381.970970206264,0,0,31.8309141838552,0,0,0,0,63.6618283677107,95.4927425515658,31.8309141838552,63.6618283677105,0,190.985485103132,254.647313470843,63.6618283677105,0,0
"L2.S2",2,2,95.492742551566,0,190.985485103132,0,0,0,222.816399286987,95.492742551566,0,63.6618283677105,63.6618283677105,63.6618283677105,0,0,0,31.8309141838552,127.323656735421,63.6618283677107,31.8309141838552,0,0,95.4927425515658,31.8309141838552,31.8309141838552,31.8309141838552,0,445.632798573975,31.8309141838552,0,63.6618283677107,31.8309141838552,0,0,31.8309141838552,0,0,0,31.8309141838552,0,222.816399286987,159.154570919276,31.8309141838552,0,31.8309141838552
"L2.S3",2,3,0,31.8309141838552,222.816399286987,0,0,0,190.985485103132,159.154570919276,31.8309141838552,63.6618283677107,0,63.6618283677105,0,95.492742551566,0,95.492742551566,0,31.8309141838552,31.8309141838552,0,0,541.125541125541,63.6618283677105,0,254.647313470843,0,286.478227654698,0,0,31.8309141838552,0,0,0,0,0,0,0,0,0,350.140056022409,318.309141838554,31.8309141838552,0,0
"L3.S1",3,1,95.492742551566,0,2482.81130634072,0,0,0,859.434682964096,381.970970206264,0,254.647313470843,63.6618283677105,63.6618283677107,0,31.8309141838552,0,127.323656735421,286.478227654698,31.8309141838552,63.6618283677105,63.6618283677105,127.323656735421,127.323656735421,0,0,572.956455309396,0,1591.54570919277,31.8309141838552,0,0,159.154570919277,0,0,31.8309141838552,604.787369493251,350.140056022409,0,0,31.8309141838552,732.111026228672,604.787369493253,127.323656735421,0,0
"L3.S2",3,2,95.492742551566,0,2419.14947797301,0,0,0,413.801884390119,477.46371275783,0,350.140056022409,63.6618283677105,127.323656735421,0,159.154570919276,31.8309141838552,286.478227654698,477.46371275783,222.816399286987,286.478227654698,31.8309141838552,159.154570919276,254.647313470843,0,0,572.956455309396,0,1177.74382480265,31.8309141838552,0,63.6618283677105,95.492742551566,0,0,63.6618283677105,732.111026228673,159.154570919276,0,0,0,1368.72930990578,1114.08199643494,222.816399286987,0,0
"L3.S3",3,3,31.8309141838552,0,2132.67125031831,0,0,31.8309141838552,700.280112044818,159.154570919277,0,318.309141838554,31.8309141838552,63.6618283677105,0,63.6618283677105,0,159.154570919276,572.956455309396,222.816399286987,127.323656735421,0,0,254.647313470843,63.6618283677107,0,891.26559714795,0,1209.5747389865,31.8309141838552,31.8309141838552,95.492742551566,318.309141838553,31.8309141838552,0,127.323656735421,1941.68576521518,127.323656735421,0,0,31.8309141838552,827.603768780238,541.125541125541,95.492742551566,0,0
"L4.S1",4,1,190.985485103132,0,891.265597147951,0,31.8309141838552,0,318.309141838554,31.8309141838552,0,95.492742551566,31.8309141838552,31.8309141838552,0,0,0,190.985485103132,381.970970206265,190.985485103132,31.8309141838552,95.4927425515658,0,63.6618283677105,31.8309141838552,0,541.125541125541,63.6618283677105,477.46371275783,31.8309141838552,31.8309141838552,0,159.154570919276,0,0,0,477.46371275783,127.323656735421,0,0,0,190.985485103132,222.816399286987,31.8309141838552,0,0
"L4.S2",4,2,63.6618283677105,0,1718.86936592819,0,0,31.8309141838552,509.294626941686,318.309141838554,0,190.985485103132,0,63.6618283677105,0,63.6618283677105,0,381.970970206264,636.618283677107,254.647313470843,0,0,63.6618283677105,127.323656735421,0,0,700.280112044818,0,1145.91291061879,0,31.8309141838552,159.154570919276,127.323656735421,31.8309141838552,127.323656735421,63.6618283677107,445.632798573975,190.985485103132,0,0,0,477.46371275783,254.647313470843,63.6618283677105,0,0
"L4.S3",4,3,63.6618283677105,0,381.970970206264,0,0,0,795.772854596384,31.8309141838552,0,95.492742551566,63.6618283677107,0,31.8309141838552,0,0,190.985485103132,159.154570919276,95.492742551566,127.323656735421,31.8309141838552,31.8309141838552,95.492742551566,0,0,190.985485103132,0,509.294626941686,0,0,0,31.8309141838552,0,0,0,254.647313470843,190.985485103132,0,0,31.8309141838552,318.309141838554,222.816399286987,0,31.8309141838552,0
